"","Location","Station.Name","State","TimeZone","DayTimeSaving","Latitude","Longitude","Elevation","City"
"25","PADT","Slana Airport","AK","K","y",62.71,-143.99,2395.01,NA
"26","PADU","Unalaska","AK","K","y",53.89,-166.53,13.123,"Unalaska"
"27","PAEC","Chulitna","AK","K","y",62.89,-149.84,1250,NA
"28","PAED","Anchorage / Elmendorf Air Force Base","AK","K","y",61.25,-149.8,193.57,NA
"29","PAEG","Eagle Airport","AK","K","y",64.78,-141.15,879.265,NA
"30","PAEH","Cape Newenham Airways Facilities Sector","AK","K","y",58.66,-162.07,528.215,NA
"31","PAEI","Fairbanks / Eielson Air Force Base","AK","K","y",64.65,-147.067,547.9,NA
"32","PAEL","Elfin Cove Seaplane","AK","K","y",58.21,-136.35,0,NA
"33","PAEM","Emmonak","AK","K","y",62.77,-164.5,13.123,NA
"34","PAEN","Kenai Municipal Airport","AK","K","y",60.58,-151.25,85.958,"Kenai"
"35","PAER","Merrill Pass West","AK","K","y",61.25,-153.817,1174.54,NA
"36","PAFA","Fairbanks International Airport","AK","K","y",64.82,-147.87,436.024,"Fairbanks"
"37","PAFB","Wainwright U. S. Army Airfield","AK","K","y",64.833,-147.617,465.879,NA
"38","PAFE","Kake Airport","AK","K","y",56.97,-133.95,0,NA
"39","PAFK","Farewell Lake Seaplane Base","AK","K","y",62.54,-153.62,1502.95,NA
"40","PAFM","Ambler","AK","K","y",67.1,-157.85,288.714,NA
"41","PAFS","Nikolai Airport","AK","K","y",63.0186,-154.358,0,NA
"42","PAGA","Galena A.","AK","K","y",64.74,-156.94,160.761,NA
"43","PAGB","Galbraith Lake","AK","K","y",68.49,-149.49,2670.6,NA
"44","PAGK","Gulkana Airport","AK","K","y",62.15,-145.45,1569.88,NA
"45","PAGL","Golovin Airport","AK","K","y",64.54,-163.04,26.247,NA
"46","PAGM","Gambell Airport","AK","K","y",63.77,-171.74,24.934,NA
"47","PAGN","Angoon Seaplane Base","AK","K","y",57.5036,-134.585,0,NA
"48","PAGS","Gustavus","AK","K","y",58.42,-135.73,40.026,"Gustavus"
"49","PAGY","Skagway","AK","K","y",59.48,-135.32,29.856,NA
"50","PAHC","Holy Cross Airport","AK","K","y",62.1883,-159.775,0,NA
"51","PAHL","Huslia Airport","AK","K","y",65.6979,-156.351,220,NA
"52","PAHN","Haines Airport","AK","K","y",59.25,-135.52,30.84,NA
"53","PAHO","Homer","AK","K","y",59.64,-151.5,85.302,"Homer"
"54","PAHP","Hooper Bay Automatic Weather Observing / Reporting","AK","K","y",61.54,-166.16,19.685,NA
"55","PAHS","Huslia","AK","K","y",65.7,-156.39,180.446,NA
"56","PAHV","Healy River Airport","AK","K","y",63.89,-149.02,1299.21,NA
"57","PAHY","Hydaburg Seaplane Base","AK","K","y",55.21,-132.84,0,NA
"58","PAHZ","Hayes River","AK","K","y",61.99,-152.09,1000.66,NA
"59","PAIG","Igiugig Airport","AK","K","y",59.324,-155.902,0,NA
"60","PAII","Egegik Automatic Weather Observing / Reporting Sys","AK","K","y",58.42,-157.37,390.42,NA
"61","PAIL","Iliamna / Iliamna Airport","AK","K","y",59.76,-154.92,186.024,NA
"62","PAIM","Indian Mountain Airways Facilities Sector","AK","K","y",66,-153.7,1220.47,NA
"63","PAIN","McKinley National Park Airport","AK","K","y",63.73,-148.92,1719.16,NA
"64","PAIW","Wales Airport","AK","A","y",65.6226,-168.095,22,NA
"65","PAJC","Chignik Airport","AK","K","y",56.31,-158.37,49.213,NA
"66","PAJN","Juneau International Airport","AK","K","y",58.38,-134.58,12.139,"Juneau"
"67","PAJV","Sutton","AK","K","y",61.72,-148.89,869.423,NA
"68","PAKK","Koyuk Airport","AK","K","y",64.93,-165.15,124.672,NA
"69","PAKN","King Salmon Airport","AK","K","y",58.68,-156.65,48.885,"King Salmon"
"70","PAKP","Anaktuvuk Pass","AK","K","y",68.13,-151.73,2155.51,NA
"71","PAKT","Ketchikan International Airport","AK","K","y",55.35,-131.7,76.115,"Ketchikan"
"72","PAKU","Kuparuk Airport","AK","K","y",70.317,-149.583,65.617,NA
"73","PAKV","Kaltag Airport","AK","K","y",64.33,-158.75,196.85,NA
"74","PAKW","Klawock Airport","AK","K","y",55.59,-133.09,49.213,"Klawock"
"75","PALG","Kalskag Airport","AK","K","y",61.5363,-160.341,0,NA
"76","PALH","Lake Hood Seaplane","AK","K","y",61.19,-149.97,72.178,"Anchorage"
"77","PALJ","Port Alsworth","AK","K","y",60.21,-154.31,278.871,NA
"78","PALK","Snowshoe Lake","AK","K","y",62.03,-146.68,2411.42,NA
"79","PALP","Alpine Airstrip","AK","K","y",70.3443,-150.945,0,NA
"80","PALR","Chandalar Lake","AK","K","y",67.5,-148.49,1919.29,NA
"81","PALU","Cape Lisburne Airways Fac Sec","AK","K","y",68.89,-166.14,9.843,NA
"82","PALV","Big River Lake","AK","K","y",60.82,-152.31,39.37,NA
"83","PAMB","Manokotak Airport","AK","K","y",58.9902,-159.05,0,NA
"84","PAMC","McGrath Airport","AK","K","y",62.95,-155.61,344.16,NA
"85","PAMD","Middleton Island, Ak","AK","K","y",59.44,-146.33,121.063,NA
"86","PAMH","Minchumina","AK","K","y",63.91,-152.16,700.131,NA
"87","PAMK","St Michael Airport","AK","K","y",63.4901,-162.11,0,NA
"88","PAML","Manley Hot Springs","AK","K","y",65,-150.65,269.029,NA
"89","PAMM","Metlakatla Seaplane Base","AK","K","y",55.08,-131.35,0,NA
"90","PAMO","Mountain Village Airport","AK","K","y",62.0954,-163.682,0,NA
"91","PAMR","Merrill Field","AK","K","y",61.214,-149.846,138.123,"Anchorage"
"92","PAMX","McCarthy","AK","K","y",61.44,-142.94,1492.78,NA
"93","PAMY","Mekoryuk","AK","K","y",60.37,-166.27,49.213,NA
"94","PANC","Anchorage International Airport","AK","K","y",61.17,-150,113.845,"Anchorage"
"95","PANI","Aniak","AK","K","y",61.58,-159.53,84.974,"Aniak"
"96","PANN","Nenana Municipal Airport","AK","K","y",64.5473,-149.074,357.94,NA
"97","PANT","Annette Island","AK","K","y",55.04,-131.57,108.924,NA
"98","PANV","Anvik Airport","AK","K","y",62.65,-160.18,324.803,NA
"99","PAOH","Hoonah Seaplane","AK","K","y",58.12,-135.45,19.685,NA
"100","PAOM","Nome Airport","AK","K","y",64.5,-165.44,13.123,"Nome"
"101","PAOO","Toksook Bay Airport","AK","K","y",60.5414,-165.087,0,NA
"102","PAOR","Northway Airport","AK","K","y",62.97,-141.94,1712.93,NA
"103","PAOT","Kotzebue, Wien Memorial Airport","AK","K","y",66.87,-162.64,9.843,"Kotzebue"
"104","PAOU","Nelson Lagoon Airport","AK","K","y",56.0075,-161.16,0,NA
"105","PAPB","St. George Airport","AK","K","y",56.35,-169.4,124.672,NA
"106","PAPG","Petersburg","AK","K","y",56.82,-132.97,106.955,"Petersburg"
"107","PAPH","Port Heiden","AK","K","y",56.96,-158.62,95.144,NA
"108","PAPM","Platinum Airport","AK","K","y",59.0114,-161.82,0,NA
"109","PAPN","Pilot Point Airport","AK","K","y",57.5804,-157.572,0,NA
"110","PAPO","Point Hope Automatic Weather Observing / Reporting","AK","K","y",68.35,-166.81,13.123,NA
"111","PAPR","Prospect Creek Airport","AK","K","y",66.817,-150.65,1099.08,NA
"112","PAPT","Puntilla","AK","K","y",62.1,-152.75,1837.27,NA
"113","PAQT","Nuiqsut Airport","AK","K","y",70.21,-151.01,55.774,NA
"114","PARC","Arctic Village","AK","K","y",68.12,-145.57,2086.61,NA
"115","PARD","Red Dog Airport","AK","K","y",68.08,-162.83,974.409,NA
"116","PARL","Central Airport","AK","K","y",65.57,-144.77,826.772,NA
"117","PARS","Russian Mission Airport","AK","K","y",61.7749,-161.319,0,NA
"118","PARY","Ruby Airport","AK","K","y",64.7272,-155.47,0,NA
"119","PASA","Savoonga Airport","AK","K","y",63.69,-170.5,55.774,NA
"120","PASC","Deadhorse Airport","AK","K","y",70.2,-148.47,76.115,"Deadhorse"
"121","PASD","Sand Point","AK","K","y",55.32,-160.52,22.966,NA
"122","PASH","Shishmaref Automatic Wx Obs","AK","K","y",66.27,-166.05,6.562,NA
"123","PASI","Sitka","AK","K","y",57.07,-135.35,15.092,"Sitka"
"124","PASK","Selawik","AK","K","y",66.62,-160,26.247,NA
"125","PASL","Sleetmute","AK","K","y",61.72,-157.15,177.165,NA
"126","PASM","St. Marys Airport","AK","K","y",62.07,-163.3,311.68,"St. Mary's"
"127","PASN","St. Paul Is.","AK","K","y",57.15,-170.22,21.982,NA
"128","PASO","Seldovia Airport","AK","K","y",59.44,-151.7,311.68,NA
"129","PASP","Sheep Mountain Airport","AK","K","y",61.82,-147.5,9708,NA
"130","PASV","Sparrevohn","AK","K","y",61.1,-155.567,1587.93,NA
"131","PASW","Skwentna","AK","K","y",61.97,-151.18,149.934,NA
"132","PASX","Soldotna","AK","K","y",60.48,-151.03,111.549,NA
"133","PASY","Shemya AFB","AK","K","y",52.72,174.12,101.706,NA
"134","PATA","Tanana, Calhoun Memorial Airport","AK","K","y",65.17,-152.1,231.955,NA
"135","PATC","Tin City Airways Facilities Sector","AK","K","y",65.57,-167.92,272.31,NA
"136","PATG","Togiak Airport","AK","K","y",59.05,-160.41,19.685,NA
"137","PATK","Talkeetna","AK","K","y",62.3,-150.1,345.144,NA
"138","PATL","Tatalina LRRS Airport","AK","K","y",62.8944,-155.977,0,NA
"139","PATO","Portage Glacier","AK","K","y",60.783,-148.833,95.144,NA
"140","PATQ","Atqasuk Edward Burnell Sr. Memorial Airport","AK","K","y",70.4673,-157.436,0,NA
"141","PATW","Cantwell","AK","K","y",63.41,-148.95,2191.6,NA
"142","PAUN","Unalakleet","AK","K","y",63.89,-160.81,15.092,"Unalakleet"
"143","PAUO","Willow Airport","AK","K","y",61.76,-150.06,226.378,NA
"144","PAVC","King Cove Airport","AK","K","y",55.1163,-162.266,0,NA
"145","PAVD","Valdez 2","AK","K","y",61.13,-146.25,124.672,"Valdez"
"146","PAVL","Kivalina Airport","AK","K","y",67.73,-164.55,9.843,NA
"147","PAVW","Valdez Weather Station Office","AK","K","y",61.13,-146.35,22.966,NA
"148","PAWD","Seward Airport","AK","K","y",60.12,-149.45,59.055,NA
"149","PAWG","Wrangell","AK","K","y",56.48,-132.37,42.651,"Wrangell"
"150","PAWI","Wainwright Airport","AK","K","y",70.62,-159.86,88.911,NA
"151","PAWN","Noatak","AK","K","y",67.57,-162.98,91.864,NA
"152","PAWR","Whittier","AK","K","y",60.77,-148.69,29.528,NA
"153","PAWS","Wasilla Airport","AK","K","y",61.58,-149.45,364.173,NA
"154","PAXK","Paxson","AK","K","y",63.033,-145.5,2654.2,NA
"155","PAYA","Yakutat","AK","K","y",59.52,-139.67,88.911,"Yakutat"
"156","PAZK","Eureka","AK","K","y",61.93,-147.17,3287.4,NA
"157","PFYU","Fort Yukon","AK","K","y",66.57,-145.27,444.882,NA
"158","PPIZ","Point Lay LRRS","AK","K","y",69.73,-163.02,19.685,NA
"159","K1M4","Posey Field Airport","AL","c","y",34.28,-87.6,930,NA
"160","K4A9","Isbell Field Airport","AL","C","y",34.467,-85.717,875.984,NA
"161","K79J","Andalusia-Opp Municipal Airport","AL","C","y",31.317,-86.4,308.399,NA
"162","K8A0","Albertville Regional Airport-Thomas J Brumlik Fiel","AL","C","y",34.2291,-86.2558,1032,NA
"163","KALX","Alexander City/T.C. Russell Field","AL","C","y",32.915,-85.963,685.696,NA
"164","KANB","Anniston Metropolitan Airport","AL","C","y",33.59,-85.85,610.892,NA
"165","KAUO","Auburn-Opelika Airport","AL","C","y",32.62,-85.44,774.278,NA
"166","KBFM","Mobile Downtown Airport","AL","C","y",30.64,-88.07,25.919,NA
"167","KBHM","Birmingham International Airport","AL","C","y",33.56,-86.75,629.921,"Birmingham"
"168","KCKL","Centreville","AL","C","y",32.9,-87.25,459.318,NA
"169","KCMD","Cullman Regional Airport-Folsom Field","AL","C","y",34.269,-86.858,964.567,NA
"170","KDCU","Decatur, Pryor Field","AL","C","y",34.66,-86.94,590.551,NA
"171","KDHN","Dothan Airport","AL","C","y",31.32,-85.45,320.866,"Dothan"
"172","KEET","Calera, Shelby County Airport","AL","C","y",33.18,-86.78,583.99,NA
"173","KGAD","Gadsden Municipal Automatic Weather Observing","AL","C","y",33.97,-86.09,567.585,NA
"174","KGZH","Evergreen, Middleton Field","AL","C","y",31.42,-87.04,255.906,NA
"175","KHEY","Hanchey Army Heliport (Fort Rucker)","AL","C","y",31.346,-86.654,317,NA
"176","KHSV","Huntsville International / Jones Field","AL","C","y",34.66,-86.77,624.016,"Huntsville"
"177","KHUA","Redstone Army Airfield","AL","C","y",34.683,-86.683,685.696,NA
"178","KJKA","Jack Edwards Airport","AL","C","y",30.2896,-87.6718,17,NA
"179","KM82","Huntsville, Madison County Executive Airport","AL","C","y",34.85,-86.55,757.874,NA
"180","KMDQ","Huntsville-Madison Co Exec Airport","AL","C","y",34.86,-86.56,754.593,NA
"181","KMGM","Montgomery, Dannelly Field","AL","C","y",32.3,-86.4,202.1,"Montgomery"
"182","KMOB","Mobile Regional Airport","AL","C","y",30.68,-88.25,214.895,"Mobile"
"183","KMSL","Muscle Shoals, North West Alabama Regional Airport","AL","C","y",34.75,-87.61,540.026,NA
"184","KMXF","Maxwell Air Force Base / Montgomery","AL","C","y",32.383,-86.367,173.885,NA
"185","KOZR","Cairns Army Air Field / Ozark","AL","C","y",31.283,-85.717,314.961,NA
"186","KPRN","Mac Crenshaw Memorial Airport","AL","C","y",31.8457,-86.6107,451,NA
"187","KTCL","Tuscaloosa Regional Airport","AL","C","y",33.23,-87.62,186.024,NA
"188","KTOI","Troy Municipal Airport","AL","C","y",31.86,-86.01,394.029,NA
"189","KARG","Walnut Ridge Automatic Weather Observing / Report","AR","C","y",36.1255,-90.9216,272.31,NA
"190","KASG","Springdale Municipal","AR","C","y",36.19,-94.12,1351.71,NA
"191","KAWM","West Memphis","AR","C","y",35.135,-90.234,209.974,NA
"192","KBPK","Mountain Home, Ozark Regional Airport","AR","C","y",36.37,-92.47,928.478,NA
"193","KBVX","Batesville Automatic Weather Observing / Reporting","AR","C","y",35.73,-91.65,462.598,NA
"194","KBYH","Eaker Air Force Base","AR","C","y",35.967,-89.95,262.139,NA
"195","KCCA","Clinton Municipal Airport","AR","C","y",35.598,-92.352,514,NA
"196","KCDH","Harrell Field Airport","AR","C","y",33.623,-92.763,130,NA
"197","KDEQ","De Queen, Helms Sevier County Airport","AR","C","y",34.05,-94.4,351.05,NA
"198","KELD","El Dorado, So. Arkansas Regional at Goodwin Field","AR","C","y",33.23,-92.8,251.969,NA
"199","KFLP","Flippin Automatic Weather Observing/Reporting Sys","AR","C","y",36.29,-92.59,1148.29,NA
"200","KFSM","Fort Smith Regional Airport","AR","C","y",35.34,-94.37,449.147,"Fort Smith"
"201","KFYV","Fayetteville, Drake Field","AR","C","y",36.01,-94.17,1250.98,NA
"202","KHKA","Blytheville Municipal Airport","AR","C","y",35.94,-89.83,255.906,NA
"203","KHOT","Hot Springs, Memorial Field Airport","AR","C","y",34.48,-93.1,554.462,NA
"204","KHRO","Harrison, Boone County Airport","AR","C","y",36.28,-93.15,1105.97,NA
"205","KJBR","Jonesboro Municipal Airport","AR","C","y",35.83,-90.65,269.029,NA
"206","KLIT","Little Rock, Adams Field","AR","C","y",34.73,-92.23,275.919,"Little Rock"
"207","KLLQ","Monticello Municipal Airport","AR","C","y",33.64,-91.75,118.11,NA
"208","KLRF","Little Rock Air Force Base","AR","C","y",34.917,-92.15,337.927,NA
"209","KM19","Newport Municipal Airport","AR","C","y",35.6,-91.2,239,NA
"210","KM89","Dexter B Florence Memorial Field Airport","AR","C","y",34.1,-93.07,182,NA
"211","KMEZ","Mena Intermountain Municipal Airport","AR","C","y",34.55,-93.583,702.1,NA
"212","KMWT","Mount Ida","AR","C","y",34.547,-93.578,1066.27,NA
"213","KPBF","Pine Bluff, Grider Field Airport","AR","C","y",34.18,-91.93,207.021,NA
"214","KROG","Rogers Automatic Weather Observing / Reporting Sys","AR","C","y",36.38,-94.11,1361.55,NA
"215","KRUE","Russellville Municipal Airport","AR","C","y",35.26,-93.09,403.543,NA
"216","KSGT","Stuttgart Automatic Weather Observing / Reporting","AR","C","y",34.61,-91.57,223.097,NA
"217","KSLG","Siloam Springs Automatic Weather Observing/Report","AR","C","y",36.19,-94.49,1194.23,NA
"218","KTXK","Texarkana Regional-Webb Field","AR","C","y",33.46,-94,360.892,"Texarkana"
"219","KVBT","Bentonville Automatic Weather Observing/Reporting","AR","C","y",36.35,-94.22,1295.93,NA
"220","KXNA","Fayetteville/Springdale, NW Arkansas Regl Airport","AR","C","y",36.282,-94.307,1286.09,"Fayetteville"
"221","NSTU","Pago Pago","AS","S","n",-14.333,-170.717,9.843,"Pago Pago, Tutuila"
"222","TNCA","Queen Beatrix Airport","AW","A","n",12.5,-70.017,16.404,NA
"223","K40G","Grand Canyon, Valle Airport","AZ","M","n",35.65,-112.15,600.066,NA
"224","KCGZ","Casa Grande (awos)","AZ","M","n",32.96,-111.77,1463.26,NA
"225","KCHD","Chandler Municipal Airport","AZ","M","n",33.27,-111.81,1243.44,NA
"226","KCMR","H.A. Clark Memorial Field Airport","AZ","M","n",35.3055,-112.194,6680,NA
"227","KDMA","Davis-Monthan AFB","AZ","M","n",32.18,-110.88,2618.11,NA
"228","KDUG","Douglas Bisbee Intl Airport","AZ","M","n",31.45,-109.6,4136.15,NA
"229","KDVT","Deer Valley/Phoenix","AZ","M","n",33.69,-112.08,1476.38,NA
"230","KFFZ","Mesa/Falcon Field","AZ","M","n",33.46,-111.73,1391.08,NA
"231","KFHU","Fort Huachuca/Libby","AZ","M","n",31.58,-110.33,4665.03,NA
"232","KFLG","Flagstaff (amos)","AZ","M","n",35.14,-111.67,6993.11,"Flagstaff"
"233","KGBN","Gila Bend (aaf)","AZ","M","n",32.89,-112.72,853.018,NA
"234","KGCN","Grand Canyon Park","AZ","M","n",35.96,-112.15,6774.93,"Grand Canyon"
"235","KGEU","Glendale","AZ","M","n",33.53,-112.3,1066.27,NA
"236","KGYR","Goodyear Municipal","AZ","M","n",33.42,-112.39,967.848,NA
"237","KIFP","Bull Head City","AZ","M","n",35.1575,-114.559,547.9,"Bullhead City"
"238","KIGM","Kingman (amos)","AZ","M","n",35.28,-113.95,3389.11,NA
"239","KINW","Winslow (aut)","AZ","M","n",35.03,-110.73,4881.89,NA
"240","KIWA","Williams AFB/Chandl","AZ","M","n",33.3,-111.67,1352.03,"Mesa"
"241","KLUF","Luke AFB/Phoenix","AZ","M","n",33.59,-112.37,1085.96,NA
"242","KNYL","Yuma Mcas","AZ","M","n",32.39,-114.37,212.927,"Yuma"
"243","KOLS","Nogales Intl Airport","AZ","M","n",31.42,-110.85,4055.12,NA
"244","KPAN","Payson Airport","AZ","M","n",34.2568,-111.339,5157,NA
"245","KPGA","Page Muni (amos)","AZ","M","n",36.94,-111.45,4278.21,"Page"
"246","KPHX","Phoenix/Sky Harbor","AZ","M","n",33.44,-112.02,1111.88,"Phoenix"
"247","KPRC","Prescott/Love Fld","AZ","M","n",34.65,-112.42,5042,"Prescott"
"248","KRQE","Window Rock (was P34)","AZ","M","n",35.657,-109.061,6738.85,NA
"249","KSAD","Safford Municipal","AZ","M","n",32.85,-109.64,3116.8,NA
"250","KSDL","Scottsdale Muni","AZ","M","n",33.61,-111.91,1509.19,NA
"251","KSEZ","Sedona Airport","AZ","M","N",34.8486,-111.788,4830,NA
"252","KSJN","St. Johns Air Park","AZ","M","n",34.52,-109.38,5731.63,NA
"253","KSOW","Show Low Municipal","AZ","M","n",34.28,-110,6410.76,NA
"254","KTUS","Tucson Intl Airport","AZ","M","n",32.12,-110.93,2548.89,"Tucson"
"255","KWTR","Whiteriver Airport","AZ","M","n",41.4,-104.867,6194.23,NA
"256","KYUM","Yuma","AZ","M","n",32.667,-114.6,206.037,NA
"257","TBPB","Grantley Adams","BB","A","n",13.067,-59.483,183.727,NA
"258","MYNN","Nassau Bahamas","BH","A","y",25.05,-77.467,22.966,NA
"259","K3A6","Newhall","CA","P","y",34.4,-118.6,1400.92,NA
"260","K87Q","Pt Piedras(cg/Amos)","CA","P","y",35.68,-121.28,68.898,NA
"261","K9L2","Edwards Air Force Aux No Base","CA","P","y",34.983,-117.867,2299.87,NA
"262","KAAT","Alturas (was O00)","CA","P","y",41.491,-120.564,4399.61,NA
"263","KACV","Arcata/Eureka Airport","CA","P","y",40.98,-124.1,203.084,"Arcata/Eureka"
"264","KAJO","Corona Airport","CA","P","y",33.87,-117.57,163,NA
"265","KAPC","Napa Co. Airport","CA","P","y",38.21,-122.28,32.808,NA
"266","KAUN","Auburn Muni Airport","CA","P","y",38.955,-121.082,1532.15,NA
"267","KAVX","Avalon, Catalina Airport","CA","P","y",33.41,-118.42,1575.13,NA
"268","KBAB","Beale AFB/Marysville","CA","P","y",39.14,-121.44,125,NA
"269","KBFL","Bakersfield/Meadows","CA","P","y",35.43,-119.05,492.126,"Bakersfield"
"270","KBIH","Bishop Airport","CA","P","y",37.37,-118.37,4146.98,NA
"271","KBLH","Blythe Airport","CA","P","y",33.62,-114.72,390.092,NA
"272","KBLU","Blue Canyon (amos)","CA","P","y",39.29,-120.7,5279.86,NA
"273","KBNY","Burney","CA","P","y",40.883,-121.667,3158.14,NA
"274","KBUR","Burbank/Glendale","CA","P","y",34.2,-118.36,725.066,"Burbank"
"275","KCCR","Concord/Buchanan","CA","P","y",37.98,-122.05,22.966,"Concord"
"276","KCEC","Crescent City","CA","P","y",41.79,-124.24,56.102,NA
"277","KCIC","Chico Municipal","CA","P","y",39.79,-121.85,239.501,NA
"278","KCMA","Camarillo (awos)","CA","P","y",34.21,-119.09,75.459,NA
"279","KCNO","Chino Airport","CA","P","y",33.97,-117.64,649.606,NA
"280","KCQT","Los Angeles Downtown/Usc","CA","P","y",34.02,-118.28,270.013,NA
"281","KCRQ","Carlsbad/Palomar","CA","P","y",33.14,-117.28,328.084,NA
"282","KCXL","Calexico International Airport","CA","P","y",0,0,NA,NA
"283","KCZZ","Campo (awrs)","CA","P","y",32.62,-116.47,2631.23,NA
"284","KDAG","Barstow-Daggett","CA","P","y",34.88,-116.78,1921.92,NA
"285","KDVO","Novato/Gnoss Field Airport","CA","P","Y",38.1436,-122.556,100,NA
"286","KEDW","Edwards AFB","CA","P","y",34.91,-117.87,2315.95,NA
"287","KEED","Needles Airport","CA","P","y",34.78,-114.62,914.042,NA
"288","KEKA","Eureka","CA","P","y",40.8,-124.167,59.055,NA
"289","KEMT","El Monte","CA","P","y",34.09,-118.03,295.276,NA
"290","KFAT","Fresno Air Terminal","CA","P","y",36.78,-119.72,333.005,"Fresno"
"291","KFUL","Fullerton Municipal","CA","P","y",33.87,-117.98,95.144,NA
"292","KHHR","Hawthorne Municipal","CA","P","y",33.93,-118.34,68.898,NA
"293","KHJO","Hanford","CA","P","y",36.318,-119.629,246.063,NA
"294","KHWD","Hayward Air Term","CA","P","y",37.66,-122.12,45.932,NA
"295","KIPL","Imperial","CA","P","y",32.84,-115.57,-55.774,NA
"296","KIYK","Inyokern","CA","P","y",35.66,-117.83,2457.35,NA
"297","KIZA","Santa Ynez Airport","CA","P","y",34.6,-120.067,672.572,NA
"298","KL35","Big Bear City Airport","CA","P","y",34.27,-116.85,2057,NA
"299","KLAX","Los Angeles Intl Airport","CA","P","y",33.94,-118.4,125,"Los Angeles"
"300","KLGB","Long Beach Airport","CA","P","y",33.83,-118.15,24.934,"Long Beach"
"301","KLPC","Lompoc (awos)","CA","P","y",34.67,-120.47,88.583,NA
"302","KLVK","Livermore Municipal","CA","P","y",37.7,-121.82,396.982,NA
"303","KMAE","Madera Municipal Airport","CA","P","y",36.99,-120.11,252.625,NA
"304","KMCC","McClellan Airfield","CA","P","y",38.667,-121.4,82.021,NA
"305","KMCE","Merced/Macready Fld","CA","P","y",37.29,-120.52,154.199,NA
"306","KMER","Castle Airport","CA","P","y",37.3805,-120.568,191,NA
"307","KMHR","Mather Field","CA","P","y",38.58,-121.3,95.144,NA
"308","KMHS","Mount Shasta (amos)","CA","P","y",41.33,-122.32,3535.1,NA
"309","KMHV","Mojave","CA","P","y",35.07,-118.16,2785.43,NA
"310","KMMH","Mammoth/June Lakes","CA","P","y",37.64,-118.92,7129.27,"Mammoth Lakes"
"311","KMOD","Modesto City/Sham","CA","P","y",37.63,-120.95,97.113,NA
"312","KMRY","Monterey Peninsula","CA","P","y",36.59,-121.84,164.042,"Monterey"
"313","KMWS","Mount Wilson","CA","P","y",34.233,-118.067,5711.94,NA
"314","KMYF","San Diego/Montg","CA","P","y",32.83,-117.13,423.228,NA
"315","KMYV","Marysville/Yuba Co.","CA","P","y",39.11,-121.57,62.336,NA
"316","KNFG","Camp Pendleton Mcas","CA","P","y",33.3,-117.35,65.945,NA
"317","KNID","China Lake (naf)","CA","P","y",35.69,-117.68,2220.14,NA
"318","KNJK","El Centro Naf","CA","P","y",32.83,-115.68,-42.979,NA
"319","KNKX","Miramar MCAS","CA","P","y",32.88,-117.15,458.99,NA
"320","KNLC","Lemoore Nas/Reeves","CA","P","y",36.3,-119.9,240.157,NA
"321","KNRS","Imperial Beach/Ream","CA","P","y",32.58,-117.12,20.013,NA
"322","KNSI","San Nicolas Island","CA","P","y",33.26,-119.45,892.06,NA
"323","KNTD","Pt Mugu Naws","CA","P","y",34.12,-119.12,9.843,NA
"324","KNUC","Naval Auxiliary Landing Field","CA","P","y",33.03,-118.58,170.932,NA
"325","KNUQ","Moffett Nas/Mtn Vie","CA","P","y",37.43,-122.05,39.042,NA
"326","KNXP","Twentynine Palms","CA","P","y",34.3,-116.17,33.136,NA
